Date,Close,High,Low,Open,Volume
2018-01-02,40.30417251586914,40.31353343162475,39.60225378021744,39.812831542998936,102223600
2018-01-03,40.297149658203125,40.839968474154716,40.23397954869898,40.36734223890624,118071600
2018-01-04,40.484336853027344,40.587285516147695,40.262063277732224,40.369688829071734,89738400
2018-01-05,40.94526672363281,41.03183557368815,40.48902017988398,40.580269488633746,94640000
2018-01-08,40.793190002441406,41.0879946684583,40.69491821029147,40.793190002441406,82271200
2018-01-09,40.78850173950195,40.959300980537996,40.57324707008062,40.83997607024875,86336000
2018-01-10,40.779136657714844,40.78147867169188,40.477313176567634,40.51474969876762,95839600
2018-01-11,41.01076126098633,41.059897130826535,40.82592427855247,40.84931942169444,74670800
2018-01-12,41.43425369262695,41.497427365644,41.09733219672616,41.221337529225394,101672400
2018-01-16,41.223690032958984,41.97240267540656,41.21199067273534,41.623781733545634,118263600
2018-01-17,41.904563903808594,41.93965842422295,40.961653040468306,41.214340727740655,137547200
2018-01-18,41.94198989868164,42.13852989077325,41.7056785034929,41.967727066089836,124773600
2018-01-19,41.75480651855469,42.01685503172588,41.509134252385074,41.78990102651753,129700400
2018-01-22,41.41320037841797,41.59569894193177,41.31961265307756,41.483392957494715,108434400
2018-01-23,41.42256546020508,41.98410262756551,41.37109470075366,41.48340070616833,130756400
2018-01-24,40.762760162353516,41.48339714467017,40.52410679746099,41.47169778528601,204420400
2018-01-25,40.03510665893555,40.93356181882684,39.89940193632538,40.83061316235407,166116000
2018-01-26,40.128700256347656,40.24334828963391,39.78944018537663,40.24334828963391,156572000
2018-01-29,39.298095703125,39.81283544569889,39.089859933941504,39.81283544569889,202561600
2018-01-30,39.06646728515625,39.160055045574445,38.53534764091524,38.72954563542,184192800
2018-01-31,39.17407989501953,39.41039480264759,38.95648681745555,39.043055645715235,129915600
2018-02-01,39.25596237182617,39.45249869840037,39.017309078047695,39.113238798212066,188923200
2018-02-02,37.552642822265625,39.026672506887714,37.45905510933252,38.83949351087909,346375200
2018-02-05,36.61442565917969,38.3434854954354,36.499777636480054,37.22509515859577,290954000
2018-02-06,38.14460754394531,38.30604944131928,36.03183221340703,36.22603017907835,272975200
2018-02-07,37.32804870605469,38.23118457700955,37.21808468690104,38.158653522396854,206434400
2018-02-08,36.30088806152344,37.66963073040576,36.27281246056751,37.50350842775057,217562000
2018-02-09,36.74491882324219,37.092609646040515,35.29542021989697,36.899971444042855,282690400
2018-02-12,38.22495651245117,38.50216852680545,37.00333379549357,37.235912711121244,243278000
2018-02-13,38.607872009277344,38.70419286398582,37.97591830186138,38.04639706346999,130196800
2018-02-14,39.3197135925293,39.35965073484387,38.26489411950926,38.30247969864652,162579600
2018-02-15,40.63999557495117,40.663486108266305,39.7026361874886,39.8882268148844,204588800
2018-02-16,40.5084342956543,41.06991289835843,40.35338530181675,40.49199128049389,160704400
2018-02-20,40.3721809387207,40.938351927509956,40.271160528345504,40.41916559216763,135722000
